item_id,level,name,reading,english_name,type,srs_stage_group,srs_stage,document_url,reason_skipped
5316,30,押す,おす,To Push,vocabulary,,,https://www.wanikani.com/vocabulary/%E6%8A%BC%E3%81%99,known
8842,30,匂う,におう,To Smell,vocabulary,,,https://www.wanikani.com/vocabulary/%E5%8C%82%E3%81%86,known
1442,30,盗,とう,Steal,kanji,,,https://www.wanikani.com/kanji/%E7%9B%97,known
8834,30,匂,にお,Smell,kanji,,,https://www.wanikani.com/kanji/%E5%8C%82,known
1509,32,机,つくえ,Desk,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E6%9C%BA,known
1489,32,祖,そ,Ancestor,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E7%A5%96,known
1506,32,汚,お,Dirty,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E6%B1%9A,known
1501,32,卵,たまご,Egg,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E5%8D%B5,known
1486,32,永,えい,Eternity,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E6%B0%B8,known
496,32,久,きゅう,Long Time,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E4%B9%85,known
1511,32,訳,やく,Translation,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E8%A8%B3,known
1507,32,欲,よく,Want,kanji,Apprentice,1,https://www.wanikani.com/kanji/%E6%AC%B2,known
5600,32,訳す,やくす,To Translate,vocabulary,,,https://www.wanikani.com/vocabulary/%E8%A8%B3%E3%81%99,known
5589,32,欲しい,ほしい,Wanted,vocabulary,,,https://www.wanikani.com/vocabulary/%E6%AC%B2%E3%81%97%E3%81%84,known
5595,32,机,つくえ,Desk,vocabulary,,,https://www.wanikani.com/vocabulary/%E6%9C%BA,known
5570,32,卵,たまご,Egg,vocabulary,,,https://www.wanikani.com/vocabulary/%E5%8D%B5,known
5497,31,探す,さがす,To Look For,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%8E%A2%E3%81%99,known
5453,31,倉,くら,Storehouse,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E5%80%89,known
5446,31,棒,ぼう,Pole,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%A3%92,known
5444,31,泥,どろ,Mud,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%B3%A5,known
5329,30,枕,まくら,Pillow,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%9E%95,known
5455,31,孫,まご,Grandchild,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E5%AD%AB,known
5593,32,暖かい,あたたかい,Warm,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%9A%96%E3%81%8B%E3%81%84,known
5530,32,桜,さくら,Sakura,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%A1%9C,known
5535,32,永久,えいきゅう,Forever,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%B0%B8%E4%B9%85,known
5533,32,桜色,さくらいろ,Pink,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E6%A1%9C%E8%89%B2,known
5538,32,眼,め,Eye,vocabulary,Apprentice,1,https://www.wanikani.com/vocabulary/%E7%9C%BC,known
